,molecule_chembl_id,canonical_smiles,bioactivity_class,MolecularWeight,LogP,NumHDonors,NumHAcceptors,PIC50
2376,CHEMBL420827,CN(CCOCCNC(=S)Nc1cccc2ccccc12)Cc1ccccc1,inactive,393.55600000000015,4.274800000000003,2.0,3.0,5.0
2378,CHEMBL101028,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,active,427.49200000000013,4.020200000000003,2.0,4.0,6.0
2381,CHEMBL329733,CCN(CCOCCNC(=O)NCc1ccccc1)CC1CCCCC1,inactive,361.53000000000026,3.404600000000001,2.0,3.0,5.0
2383,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,198.26899999999992,2.695800000000001,1.0,2.0,6.651695136951839
2384,CHEMBL1083789,NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,311.4730000000002,4.434700000000004,2.0,3.0,6.496209316942819
2385,CHEMBL258928,NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,325.5000000000002,4.824800000000004,2.0,3.0,7.050609993355087
2386,CHEMBL1083790,NCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,339.5270000000002,5.214900000000005,2.0,3.0,6.882728704344236
2387,CHEMBL1084092,NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,353.5540000000002,5.605000000000006,2.0,3.0,6.8326826652518236
2388,CHEMBL1084093,NCCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,381.6080000000002,6.385200000000007,2.0,3.0,6.7447274948966935
2389,CHEMBL1083791,CN(C)CCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,339.5270000000002,5.037600000000005,1.0,3.0,7.2839966563652006
2390,CHEMBL1084094,CN(C)CCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,353.5540000000002,5.427700000000005,1.0,3.0,7.327902142064283
2391,CHEMBL1084095,CN(C)CCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,367.5810000000002,5.817800000000006,1.0,3.0,7.1487416512809245
2392,CHEMBL1084367,CN(C)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,381.6080000000002,6.207900000000007,1.0,3.0,7.346787486224656
2393,CHEMBL1084368,CN(C)CCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,409.6620000000002,6.988100000000007,1.0,3.0,6.578396073130169
2394,CHEMBL1084369,c1ccc2c(NCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,active,388.55900000000025,5.983100000000005,2.0,4.0,7.892790030352131
2395,CHEMBL1084096,c1ccc2c(NCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,active,402.58600000000024,6.373200000000006,2.0,4.0,7.866461091629782
2396,CHEMBL1084530,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,active,416.6130000000002,6.763300000000006,2.0,4.0,7.080921907623926
2397,CHEMBL1084531,c1ccc2c(NCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,active,430.6400000000002,7.153400000000007,2.0,4.0,6.7544873321858505
2398,CHEMBL1084774,c1ccc(NCCCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,active,457.70600000000024,8.538600000000004,2.0,3.0,6.583359492661719
2399,CHEMBL1084775,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,active,438.6190000000002,7.1363000000000065,2.0,4.0,7.995678626217358
2400,CHEMBL1082738,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,active,452.64600000000024,7.526400000000007,2.0,4.0,8.05551732784983
2401,CHEMBL1082739,c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,active,466.67300000000023,7.916500000000007,2.0,4.0,7.42021640338319
2402,CHEMBL118752,Nc1c2c(nc3ccccc13)CCC2,active,184.24199999999993,2.3057,1.0,2.0,7.251811972993799
2403,CHEMBL330883,Nc1c2c(nc3ccccc13)CCCCC2,active,212.2959999999999,3.0859000000000014,1.0,2.0,7.4089353929735005
2405,CHEMBL431844,Nc1c2c(nc3ccccc13)C1CCC2C1,active,210.27999999999994,3.181700000000002,1.0,2.0,6.619788758288394
